en,mi
About,Mō
Welcome,Nau mai haere mai
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Hono atu ki nga rau o nga kairangahau mai i nga wa katoa
           te ao kei roto i te hapori Open Specy na
           te tātari, te tiri, te tukatuka, me te tautuhi
           ratou Raman me IR tūāwhiorangi. Ko enei ratonga he kore utu me te tuwhera puna whakawhetai ki o maatau hoa:"
Quick Video Tutorial,Akoranga Ataata Tere
Instructions,Tohutohu
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","He Poto: Hei whakamahi i te taputapu tukuake he csv, asp, jdx, spc, he konae kaukau ranei ki te ripa konae tukuake.
                                  Mēnā csv, me whakaingoatia tētahi tīwae 'tau ngaru' (i ngā waeine 1/cm) me te ingoa 'kaha' tetahi.
                                  Ka taea e koe te whakaene i o raraunga ma te whakamahi i te tātari SG, ka whakatikahia o raraunga ma te whakamahi i te raupapa polynomial o iModPolyFit, me te aukati i te awhe roangaru mo te whakataetae.
                                  Ka whakatauritea te hua ki tetahi whare pukapuka a Raman o roto, FTIR ranei. Ko nga whakataetae 1000 tino kaha me to
                                  Ko nga raraunga kua tukuake, kua tukatukahia ranei ka whakaatuhia ki roto i te papaa me te ripanga tauwhitiwhiti. Mo etahi atu taipitopito pawhiria te paatene kei raro nei
                                  mataki ranei i te ataata tohutohu taipitopito."
Detailed Standard Operating Procedure,Nga Tikanga Whakahaere Paerewa Taipitopito
Download Open Data,Tikiake Raraunga Tuwhera
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","I ahu mai nga tohutoro tohutoro mai i nga rauemi uru tuwhera
           ipurangi, pukapuka arotakehia e te hoa, me nga takoha umanga. Ake ake nei
           Ko te hiranga ka tukuna ki te taputapu ka whakauruhia ki te tohutoro
           whare pukapuka kia pai ake."
Raman Reference Library,Raman Reference Library
FTIR Reference Library,FTIR Reference Library
Raman Reference Library Metadata,Raman Reference Library Metadata
FTIR Reference Library Metadata,FTIR Reference Library Metadata
Contribute Spectra,Tukua a Spectra
