en,am
About,ስለ
Welcome,እንኳን ደህና መጣህ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","በዙሪያው ካሉ በመቶዎች የሚቆጠሩ ተመራማሪዎችን ይቀላቀሉ
           የ Open Specy ማህበረሰብ አካል የሆኑት አለም በ
           መተንተን፣ ማጋራት፣ ማቀናበር እና መለየት
           የእነሱ ራማን እና IR ስፔክትራ. እነዚህ አገልግሎቶች ነጻ እና ክፍት ምንጭ ናቸው ለአጋሮቻችን፡"
Quick Video Tutorial,ፈጣን የቪዲዮ አጋዥ ስልጠና
Instructions,መመሪያዎች
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","በአጭሩ፡ መሳሪያውን ለመጠቀም csv፣ asp፣ jdx፣ spc ወይም spa ፋይል ወደ የሰቀላ ፋይል ትር ይስቀሉ።
                                  csv ከሆነ፣ አንድ አምድ 'የሞገድ ቁጥር' (በ1/ሴሜ አሃዶች) እና ሌላ 'intensity' መሰየም አለበት።
                                  የSG ማጣሪያን በመጠቀም ውሂብዎን ማለስለስ፣ መነሻ መስመር የ iModPolyFit ባለብዙ ቁጥር ቅደም ተከተል በመጠቀም ውሂብዎን ማረም እና የግጥሚያውን የሞገድ ርዝመት መገደብ ይችላሉ።
                                  ውጤቱም ከውስጥ ራማን ወይም FTIR ስፔክትራ ቤተ-መጽሐፍት ጋር ይነጻጸራል። ከእርስዎ ጋር በጣም ጠንካራው 1000 ግጥሚያዎች
                                  የተሰቀለ ወይም የተቀነባበረ መረጃ በይነተገናኝ ሴራ እና ሠንጠረዥ ውስጥ ይቀርባል። ለበለጠ መረጃ ከታች ያለውን ቁልፍ ይጫኑ
                                  ወይም ዝርዝር መመሪያውን ቪዲዮ ይመልከቱ።"
Detailed Standard Operating Procedure,ዝርዝር መደበኛ የስራ ሂደት
Download Open Data,ዳታ ክፈትን ያውርዱ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","የማመሳከሪያ እይታ ከክፍት ተደራሽነት ምንጮች የተገኘ ነው።
           በመስመር ላይ፣ በአቻ የተገመገሙ ህትመቶች እና የድርጅት ልገሳዎች። ወደፊት
           ወደ መሳሪያው የሚሰቀለው ስፔክትራ በማጣቀሻው ውስጥ ይካተታል
           ቤተ-መጽሐፍት የበለጠ የተሻለ ለማድረግ."
Raman Reference Library,ራማን ማጣቀሻ ቤተ መጻሕፍት
