en,ps
About,په اړه
Welcome,ښه راغلاست
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","له شاوخوا څخه د سلګونو څیړونکو سره یوځای شئ
           نړۍ چې د خلاص نسل ټولنې برخه ده
           تحلیل، شریکول، پروسس کول، او پیژندل
           د دوی رامان او IR سپیکٹرا. دا خدمتونه وړیا او خلاصې سرچینې دي زموږ د شریکانو څخه مننه:"
Quick Video Tutorial,ګړندی ویډیو لارښود
Instructions,لارښوونې
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","په لنډه توګه: د وسیلې کارولو لپاره د اپلوډ فایل ټب ته csv، asp، jdx، spc، یا سپا فایل اپلوډ کړئ.
                                  که csv وي، یو کالم باید د ویینمبر په نوم (د 1/cm په واحدونو کې) او بل ته د شدت په نوم نومول شي.
                                  تاسو کولی شئ د SG فلټر په کارولو سره خپل ډیټا اسانه کړئ ، د iModPolyFit پولینومیل ترتیب په کارولو سره خپل ډاټا بیس لاین سم کړئ ، او د میچ لپاره د طول موج حد محدود کړئ.
                                  پایله به د داخلي رامان یا FTIR سپیکٹرا کتابتون سره پرتله شي. ستاسو سره تر ټولو قوي 1000 میچونه
                                  اپلوډ شوي یا پروسس شوي ډاټا به په یو متقابل پلاټ او میز کې وړاندې شي. د نورو جزیاتو لپاره لاندې تڼۍ کلیک وکړئ
                                  یا تفصیلي لارښوونې ویډیو وګورئ."
Detailed Standard Operating Procedure,تفصیلي معیاري عملیاتي پروسیجر
Download Open Data,خلاص ډاټا ډاونلوډ کړئ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","د حوالې سپیکٹرا د خلاص لاسرسي سرچینو څخه سرچینه شوې
           آنلاین، د ملګرو بیاکتنې خپرونې، او د شرکتونو مرستې. په راتلونکي کښي
           سپیکٹرا چې وسیلې ته اپلوډ شوی به په حوالې کې شامل شي
           کتابتون به لا ښه شي."
Raman Reference Library,د رامان حواله کتابتون
FTIR Reference Library,د FTIR حواله کتابتون
Raman Reference Library Metadata,د رامان حواله کتابتون میټاډاټا
FTIR Reference Library Metadata,د FTIR حوالې کتابتون میټاډاټا
