en,pa
About,ਬਾਰੇ
Welcome,ਸੁਆਗਤ ਹੈ
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","ਆਲੇ ਦੁਆਲੇ ਦੇ ਸੈਂਕੜੇ ਖੋਜਕਰਤਾਵਾਂ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਵੋ
           ਦੁਨੀਆ ਜੋ ਓਪਨ ਸਪੀਸੀ ਕਮਿਊਨਿਟੀ ਦਾ ਹਿੱਸਾ ਹਨ
           ਵਿਸ਼ਲੇਸ਼ਣ ਕਰਨਾ, ਸਾਂਝਾ ਕਰਨਾ, ਪ੍ਰਕਿਰਿਆ ਕਰਨਾ ਅਤੇ ਪਛਾਣ ਕਰਨਾ
           ਉਹਨਾਂ ਦਾ ਰਮਨ ਅਤੇ IR ਸਪੈਕਟਰਾ। ਇਹ ਸੇਵਾਵਾਂ ਮੁਫ਼ਤ ਅਤੇ ਓਪਨ ਸੋਰਸ ਹਨ ਸਾਡੇ ਭਾਈਵਾਲਾਂ ਦਾ ਧੰਨਵਾਦ:"
Quick Video Tutorial,ਤੇਜ਼ ਵੀਡੀਓ ਟਿਊਟੋਰਿਅਲ
Instructions,ਹਦਾਇਤਾਂ
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","ਸੰਖੇਪ ਵਿੱਚ: ਟੂਲ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਇੱਕ csv, asp, jdx, spc, ਜਾਂ spa ਫਾਈਲ ਨੂੰ ਅੱਪਲੋਡ ਫਾਈਲ ਟੈਬ ਵਿੱਚ ਅਪਲੋਡ ਕਰੋ।
                                  ਜੇਕਰ csv ਹੈ, ਤਾਂ ਇੱਕ ਕਾਲਮ ਨੂੰ 'wavenumber' (1/cm ਦੀ ਇਕਾਈਆਂ ਵਿੱਚ) ਅਤੇ ਦੂਜੇ ਨੂੰ 'ਤੀਬਰਤਾ' ਨਾਮ ਦਿੱਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।
                                  ਤੁਸੀਂ ਇੱਕ SG ਫਿਲਟਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਆਪਣੇ ਡੇਟਾ ਨੂੰ ਨਿਰਵਿਘਨ ਕਰ ਸਕਦੇ ਹੋ, iModPolyFit ਦੇ ਬਹੁਨਾਮੀ ਕ੍ਰਮ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਆਪਣੇ ਡੇਟਾ ਨੂੰ ਬੇਸਲਾਈਨ ਠੀਕ ਕਰ ਸਕਦੇ ਹੋ, ਅਤੇ ਮੈਚ ਲਈ ਤਰੰਗ-ਲੰਬਾਈ ਸੀਮਾ ਨੂੰ ਸੀਮਤ ਕਰ ਸਕਦੇ ਹੋ।
                                  ਨਤੀਜੇ ਦੀ ਤੁਲਨਾ ਅੰਦਰੂਨੀ ਰਮਨ ਜਾਂ FTIR ਸਪੈਕਟਰਾ ਲਾਇਬ੍ਰੇਰੀ ਨਾਲ ਕੀਤੀ ਜਾਵੇਗੀ। ਤੁਹਾਡੇ ਨਾਲ ਸਭ ਤੋਂ ਮਜ਼ਬੂਤ 1000 ਮੈਚ
                                  ਅਪਲੋਡ ਜਾਂ ਪ੍ਰੋਸੈਸਡ ਡੇਟਾ ਇੱਕ ਇੰਟਰਐਕਟਿਵ ਪਲਾਟ ਅਤੇ ਟੇਬਲ ਵਿੱਚ ਪੇਸ਼ ਕੀਤਾ ਜਾਵੇਗਾ। ਹੋਰ ਵੇਰਵਿਆਂ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਬਟਨ 'ਤੇ ਕਲਿੱਕ ਕਰੋ
                                  ਜਾਂ ਵਿਸਤ੍ਰਿਤ ਹਿਦਾਇਤੀ ਵੀਡੀਓ ਦੇਖੋ।"
Detailed Standard Operating Procedure,ਵਿਸਤ੍ਰਿਤ ਸਟੈਂਡਰਡ ਓਪਰੇਟਿੰਗ ਪ੍ਰਕਿਰਿਆ
Download Open Data,ਓਪਨ ਡਾਟਾ ਡਾਊਨਲੋਡ ਕਰੋ
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","ਹਵਾਲਾ ਸਪੈਕਟਰਾ ਓਪਨ ਐਕਸੈਸ ਸਰੋਤਾਂ ਤੋਂ ਪ੍ਰਾਪਤ ਕੀਤਾ ਗਿਆ ਸੀ
           ਔਨਲਾਈਨ, ਪੀਅਰ ਸਮੀਖਿਆ ਕੀਤੇ ਪ੍ਰਕਾਸ਼ਨਾਂ, ਅਤੇ ਕਾਰਪੋਰੇਟ ਦਾਨ। ਭਵਿੱਖ ਵਿੱਚ
           ਸਪੈਕਟਰਾ ਜੋ ਕਿ ਟੂਲ 'ਤੇ ਅੱਪਲੋਡ ਕੀਤਾ ਗਿਆ ਹੈ, ਨੂੰ ਸੰਦਰਭ ਵਿੱਚ ਸ਼ਾਮਲ ਕੀਤਾ ਜਾਵੇਗਾ
           ਇਸ ਨੂੰ ਹੋਰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ ਲਾਇਬ੍ਰੇਰੀ।"
Raman Reference Library,ਰਮਨ ਰੈਫਰੈਂਸ ਲਾਇਬ੍ਰੇਰੀ
