en,it
About,Di
Welcome,Ben arrivato
"Join the hundreds of researchers from around
           the world who are part of the Open Specy community by
           analyzing, sharing, processing, and identifying
           their Raman and IR spectra. These services are free and open source thanks to our partners:","Unisciti alle centinaia di ricercatori di tutto il mondo
           il mondo che fanno parte della comunità Open Specy da
           analizzare, condividere, elaborare e identificare
           i loro spettri Raman e IR. Questi servizi sono gratuiti e open source grazie ai nostri partner:"
Quick Video Tutorial,Tutorial video veloce
Instructions,Istruzioni
"In Brief: To use the tool upload a csv, asp, jdx, spc, or spa file to the upload file tab.
                                  If csv, one column should be named 'wavenumber' (in units of 1/cm) and another named 'intensity'.
                                  You can smooth your data using an SG filter, baseline correct your data using the polynomial order of iModPolyFit, and restrict the wavelength range for the match.
                                  The result will be compared to an internal Raman or FTIR spectra library. The strongest 1000 matches along with your
                                  uploaded or processed data will be presented in an interactive plot and table. For more details click the button below
                                  or watch the detailed instructional video.","In breve: per utilizzare lo strumento, caricare un file csv, asp, jdx, spc o spa nella scheda del file di caricamento.
                                  Se csv, una colonna dovrebbe essere denominata ""numero d'onda"" (in unità di 1/cm) e un'altra denominata ""intensità"".
                                  Puoi smussare i tuoi dati utilizzando un filtro SG, correggere i dati di base utilizzando l'ordine polinomiale di iModPolyFit e limitare l'intervallo di lunghezze d'onda per la corrispondenza.
                                  Il risultato sarà confrontato con una libreria interna di spettri Raman o FTIR. Le 1000 partite più forti insieme alla tua
                                  i dati caricati o elaborati verranno presentati in un grafico e una tabella interattivi. Per maggiori dettagli clicca il pulsante qui sotto
                                  o guarda il video didattico dettagliato."
Detailed Standard Operating Procedure,Procedura operativa standard dettagliata
Download Open Data,Scarica dati aperti
"Reference spectra was sourced from open access resources
           online, peer reviewed publications, and corporate donations. In the future
           spectra that is uploaded to the tool will be incorporated to the reference
           library to make it even better.","Gli spettri di riferimento provengono da risorse ad accesso aperto
           pubblicazioni online, peer reviewed e donazioni aziendali. Nel futuro
           gli spettri caricati nello strumento verranno incorporati nel riferimento
           libreria per renderlo ancora migliore."
Raman Reference Library,Biblioteca di riferimento Raman
FTIR Reference Library,Libreria di riferimento FTIR
Raman Reference Library Metadata,Metadati della libreria di riferimento Raman
FTIR Reference Library Metadata,Metadati della libreria di riferimento FTIR
Contribute Spectra,Spettri di contributo
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Per condividere gli spettri, caricare un file nella scheda Carica file. Se hai selezionato Condividi una copia dei tuoi spettri verrà inviata alla Community
           Data Warehouse su Open Science Framework. Per aggiungere ulteriori metadati,
           compilare i campi dei metadati disponibili e fare clic su -Condividi dati-. Il
           il file spettri che hai caricato insieme alle tue risposte verrà copiato
           alla sottocartella a -With Metadata- al link sottostante. Tutti i dati condivisi sono conservati
           una licenza Creative Commons di attribuzione 4.0."
Community Data Warehouse,Data Warehouse della comunità
Tool Validation,Convalida dello strumento
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Tutti i parametri in questo strumento sono testati per convalidarlo
           lo strumento funziona nel miglior modo possibile e determina la migliore impostazione predefinita
           parametri da utilizzare. La nostra attuale procedura di convalida include la correzione
           voci duplicate nelle librerie di riferimento, verificando gli spettri in
           metadati che non sono nella libreria spettrale e garantendo l'impostazione predefinita
           i parametri forniscono una precisione superiore all'80% nella prima corrispondenza."
Detailed Validation Procedure,Procedura di convalida dettagliata
"Updates, Feature Requests, and Bug Reports","Aggiornamenti, richieste di funzionalità e segnalazioni di bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Teniamo traccia di tutti gli aggiornamenti utilizzando il controllo della versione sul nostro codice. È possibile richiedere funzionalità e segnalare bug su GitHub.
Stay up to date!,Rimani aggiornato!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Seguici su Twitter @OpenSpecy. E-mail wincowger@gmail.com da aggiungere alla mailing list.
Citation,Citazione
Useful Links,link utili
Free FTIR Software: siMPle microplastic IR spectral identification software,Software FTIR gratuito: semplice software di identificazione spettrale IR microplastica
Free Spectroscopy Learning Academy from ThermoFisher,Accademia di apprendimento gratuita sulla spettroscopia di ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Risorsa gratuita per l'apprendimento della microscopia ottica dalla Florida State University
Free desktop application for spectral analysis and links to reference databases.,Applicazione desktop gratuita per l'analisi spettrale e collegamenti a database di riferimento.
Terms And Conditions,Termini e Condizioni
Privacy Policy,politica sulla riservatezza
Upload File,Caricare un file
"Upload, View, and Share Spectra","Carica, visualizza e condividi spettri"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Scegli .csv (preferito), .asp, .jdx, .spc, .spa o .0 File"
Share Your Data?,Condividi i tuoi dati?
Share Help,Condividi aiuto
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Se lo desideri, condividiamo gli spettri e le impostazioni caricati con la comunità di spettroscopia.
           Per impostazione predefinita, tutti i dati verranno concessi in licenza in base a Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Gli spettri caricati appariranno qui: https://osf.io/rjg3c"
Upload Help,Carica aiuto
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Carica file di spettro Raman o FTIR come csv, jdx, spc o spa. È preferibile un file CSV. Se un csv, il file deve contenere una colonna etichettata 'numero d'onda' in unità di (1/cm) e un'altra colonna etichettata 'intensità' in unità di assorbanza.
            Se jdx, spc, spa o 0 il file deve essere un singolo spettro di assorbanza con numero d'onda in (1/cm). Questi file non funzioneranno sempre perfettamente perché sono difficili da leggere, quindi ricontrollali in un altro software.
            Premi il pulsante ""Test Data"" per scaricare un campione di spettro Raman."
Intensity Adjustment,Regolazione dell'intensità
None,Nessuno
Transmittance,Trasmissione
Reflectance,riflettanza
Intensity Correction Help,Aiuto per la correzione dell'intensità
